Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2023	Regulation Of Protein Localization To Cell Surface (GO:2000008)	1/31	2.905547e-02	5.189782e-02	0	0	3.694630e+01	1.307363e+02	BDNF
GO_Biological_Process_2023	Regulation Of Long-Term Synaptic Potentiation (GO:1900271)	1/31	2.905547e-02	5.189782e-02	0	0	3.694630e+01	1.307363e+02	RELN
GO_Biological_Process_2023	Presynaptic Endocytosis (GO:0140238)	1/31	2.905547e-02	5.189782e-02	0	0	3.694630e+01	1.307363e+02	SYT1
GO_Biological_Process_2023	Inorganic Cation Transmembrane Transport (GO:0098662)	2/284	2.930722e-02	5.202032e-02	0	0	8.218189e+00	2.900956e+01	KCNC1;KCNK2
GO_Biological_Process_2023	Positive Regulation Of Synapse Assembly (GO:0051965)	1/32	2.997930e-02	5.288273e-02	0	0	3.575269e+01	1.253936e+02	BDNF
GO_Biological_Process_2023	Negative Regulation Of Epithelial Cell Migration (GO:0010633)	1/33	3.090229e-02	5.384203e-02	0	0	3.463368e+01	1.204187e+02	DCN
GO_Biological_Process_2023	Positive Regulation Of Ion Transmembrane Transporter Activity (GO:0032414)	1/33	3.090229e-02	5.384203e-02	0	0	3.463368e+01	1.204187e+02	RELN
GO_Biological_Process_2023	Cellular Response To Amyloid-Beta (GO:1904646)	1/34	3.182445e-02	5.412062e-02	0	0	3.358249e+01	1.157763e+02	GRIN2A
GO_Biological_Process_2023	Glial Cell Differentiation (GO:0010001)	1/34	3.182445e-02	5.412062e-02	0	0	3.358249e+01	1.157763e+02	RELN
GO_Biological_Process_2023	Positive Regulation Of Neuron Death (GO:1901216)	1/34	3.182445e-02	5.412062e-02	0	0	3.358249e+01	1.157763e+02	GRIN2B
GO_Biological_Process_2023	Apoptotic Mitochondrial Changes (GO:0008637)	1/34	3.182445e-02	5.412062e-02	0	0	3.358249e+01	1.157763e+02	CAMK2A
GO_Biological_Process_2023	Regulation Of Regulated Secretory Pathway (GO:1903305)	1/35	3.274578e-02	5.535596e-02	0	0	3.259314e+01	1.114353e+02	SYT1
GO_Biological_Process_2023	Regulation Of Trans-Synaptic Signaling (GO:0099177)	1/36	3.366628e-02	5.624249e-02	0	0	3.166032e+01	1.073683e+02	RELN
GO_Biological_Process_2023	Positive Regulation Of Signaling Receptor Activity (GO:2000273)	1/36	3.366628e-02	5.624249e-02	0	0	3.166032e+01	1.073683e+02	RELN
GO_Biological_Process_2023	Cellular Response To Cytokine Stimulus (GO:0071345)	2/308	3.401833e-02	5.649828e-02	0	0	7.564398e+00	2.557414e+01	CAMK2A;AQP4
GO_Biological_Process_2023	Negative Regulation Of Endothelial Cell Migration (GO:0010596)	1/37	3.458595e-02	5.677694e-02	0	0	3.077932e+01	1.035511e+02	DCN
GO_Biological_Process_2023	Positive Regulation Of Signaling (GO:0023056)	1/37	3.458595e-02	5.677694e-02	0	0	3.077932e+01	1.035511e+02	SYT1
GO_Biological_Process_2023	Positive Regulation Of Protein Tyrosine Kinase Activity (GO:0061098)	1/38	3.550479e-02	5.696814e-02	0	0	2.994595e+01	9.996219e+01	RELN
GO_Biological_Process_2023	Positive Regulation Of Axonogenesis (GO:0050772)	1/38	3.550479e-02	5.696814e-02	0	0	2.994595e+01	9.996219e+01	BDNF
GO_Biological_Process_2023	Import Into Cell (GO:0098657)	1/38	3.550479e-02	5.696814e-02	0	0	2.994595e+01	9.996219e+01	SNAP25
GO_Biological_Process_2023	Regulation Of Neurotransmitter Secretion (GO:0046928)	1/38	3.550479e-02	5.696814e-02	0	0	2.994595e+01	9.996219e+01	CAMK2A
GO_Biological_Process_2023	Regulation Of Protein Tyrosine Kinase Activity (GO:0061097)	1/39	3.642280e-02	5.778813e-02	0	0	2.915643e+01	9.658244e+01	RELN
GO_Biological_Process_2023	Anterograde Axonal Transport (GO:0008089)	1/39	3.642280e-02	5.778813e-02	0	0	2.915643e+01	9.658244e+01	DLG2
GO_Biological_Process_2023	Establishment Or Maintenance Of Epithelial Cell Apical/Basal Polarity (GO:0045197)	1/40	3.733999e-02	5.794840e-02	0	0	2.840741e+01	9.339476e+01	DLG2
GO_Biological_Process_2023	Synaptic Vesicle Endocytosis (GO:0048488)	1/40	3.733999e-02	5.794840e-02	0	0	2.840741e+01	9.339476e+01	SYT1
GO_Biological_Process_2023	L-alpha-amino Acid Transmembrane Transport (GO:1902475)	1/40	3.733999e-02	5.794840e-02	0	0	2.840741e+01	9.339476e+01	SLC17A7
GO_Biological_Process_2023	Positive Regulation Of Monoatomic Ion Transport (GO:0043270)	1/40	3.733999e-02	5.794840e-02	0	0	2.840741e+01	9.339476e+01	CAMK2A
GO_Biological_Process_2023	Regulation Of Neurotransmitter Receptor Activity (GO:0099601)	1/42	3.917187e-02	6.046094e-02	0	0	2.701897e+01	8.753596e+01	RELN
GO_Biological_Process_2023	Response To Amyloid-Beta (GO:1904645)	1/43	4.008658e-02	6.153832e-02	0	0	2.637434e+01	8.483870e+01	GRIN2A
GO_Biological_Process_2023	Synaptic Vesicle Recycling (GO:0036465)	1/44	4.100046e-02	6.260285e-02	0	0	2.575969e+01	8.228088e+01	SYT1
GO_Biological_Process_2023	Zymogen Activation (GO:0031638)	1/45	4.191352e-02	6.331616e-02	0	0	2.517298e+01	7.985239e+01	GRIN2A
GO_Biological_Process_2023	Regulation Of Apoptotic Signaling Pathway (GO:2001233)	1/45	4.191352e-02	6.331616e-02	0	0	2.517298e+01	7.985239e+01	BDNF
GO_Biological_Process_2023	Negative Regulation Of Hydrolase Activity (GO:0051346)	1/47	4.373716e-02	6.572144e-02	0	0	2.407609e+01	7.534749e+01	CAMK2A
GO_Biological_Process_2023	Plasma Membrane Bounded Cell Projection Morphogenesis (GO:0120039)	1/50	4.646646e-02	6.873163e-02	0	0	2.259864e+01	6.935578e+01	BDNF
GO_Biological_Process_2023	Positive Regulation Of Cell Death (GO:0010942)	1/50	4.646646e-02	6.873163e-02	0	0	2.259864e+01	6.935578e+01	GRIN2B
GO_Biological_Process_2023	Negative Regulation Of Cell Projection Organization (GO:0031345)	1/50	4.646646e-02	6.873163e-02	0	0	2.259864e+01	6.935578e+01	GRIN2B
GO_Biological_Process_2023	Regulation Of Synapse Assembly (GO:0051963)	1/51	4.737458e-02	6.935248e-02	0	0	2.214556e+01	6.753662e+01	BDNF
GO_Biological_Process_2023	Regulated Exocytosis (GO:0045055)	1/51	4.737458e-02	6.935248e-02	0	0	2.214556e+01	6.753662e+01	SNAP25
GO_Biological_Process_2023	Cell Cycle G1/S Phase Transition (GO:0044843)	1/52	4.828189e-02	6.995947e-02	0	0	2.171024e+01	6.579720e+01	CAMK2A
GO_Biological_Process_2023	Regulation Of Peptide Hormone Secretion (GO:0090276)	1/52	4.828189e-02	6.995947e-02	0	0	2.171024e+01	6.579720e+01	SNAP25
GO_Biological_Process_2023	Positive Regulation Of Protein Phosphorylation (GO:0001934)	2/377	4.906556e-02	7.055302e-02	0	0	6.150902e+00	1.854250e+01	RELN;BDNF
GO_Biological_Process_2023	Protein Homotetramerization (GO:0051289)	1/53	4.918837e-02	7.055302e-02	0	0	2.129167e+01	6.413259e+01	AQP4
GO_Biological_Process_2023	Peptidyl-Tyrosine Modification (GO:0018212)	1/54	5.009404e-02	7.113354e-02	0	0	2.088889e+01	6.253827e+01	RELN
GO_Biological_Process_2023	Regulation Of Exocytosis (GO:0017157)	1/54	5.009404e-02	7.113354e-02	0	0	2.088889e+01	6.253827e+01	SYT1
GO_Biological_Process_2023	Neuron Migration (GO:0001764)	1/55	5.099889e-02	7.205814e-02	0	0	2.050103e+01	6.101006e+01	RELN
GO_Biological_Process_2023	Cellular Response To Peptide (GO:1901653)	1/56	5.190293e-02	7.263442e-02	0	0	2.012727e+01	5.954412e+01	GRIN2A
GO_Biological_Process_2023	Monoatomic Anion Transport (GO:0006820)	1/57	5.280615e-02	7.263442e-02	0	0	1.976687e+01	5.813687e+01	SLC17A7
GO_Biological_Process_2023	Regulation Of Calcium Ion Transport (GO:0051924)	1/57	5.280615e-02	7.263442e-02	0	0	1.976687e+01	5.813687e+01	CAMK2A
GO_Biological_Process_2023	Peptidyl-Threonine Phosphorylation (GO:0018107)	1/58	5.370855e-02	7.263442e-02	0	0	1.941910e+01	5.678501e+01	CAMK2A
GO_Biological_Process_2023	Memory (GO:0007613)	1/58	5.370855e-02	7.263442e-02	0	0	1.941910e+01	5.678501e+01	BDNF
GO_Biological_Process_2023	Positive Regulation Of Mitochondrion Organization (GO:0010822)	1/58	5.370855e-02	7.263442e-02	0	0	1.941910e+01	5.678501e+01	DCN
GO_Biological_Process_2023	Muscle Organ Development (GO:0007517)	1/58	5.370855e-02	7.263442e-02	0	0	1.941910e+01	5.678501e+01	LAMA2
GO_Biological_Process_2023	Inorganic Anion Transport (GO:0015698)	1/58	5.370855e-02	7.263442e-02	0	0	1.941910e+01	5.678501e+01	SLC17A7
GO_Biological_Process_2023	Regulation Of Neuron Death (GO:1901214)	1/58	5.370855e-02	7.263442e-02	0	0	1.941910e+01	5.678501e+01	GRIN2B
GO_Biological_Process_2023	Positive Regulation Of Protein Binding (GO:0032092)	1/59	5.461014e-02	7.350370e-02	0	0	1.908333e+01	5.548547e+01	BDNF
GO_Biological_Process_2023	Cellular Response To Oxygen-Containing Compound (GO:1901701)	2/406	5.600046e-02	7.501948e-02	0	0	5.700932e+00	1.643234e+01	DLG2;SYT1
GO_Biological_Process_2023	Positive Regulation Of Cell Junction Assembly (GO:1901890)	1/61	5.641088e-02	7.521450e-02	0	0	1.844537e+01	5.303216e+01	BDNF
GO_Biological_Process_2023	Vesicle-Mediated Transport (GO:0016192)	2/411	5.723000e-02	7.595010e-02	0	0	5.629800e+00	1.610504e+01	SNAP25;OCIAD2
GO_Biological_Process_2023	G1/S Transition Of Mitotic Cell Cycle (GO:0000082)	1/63	5.820837e-02	7.688919e-02	0	0	1.784857e+01	5.075644e+01	CAMK2A
GO_Biological_Process_2023	Positive Regulation Of Macroautophagy (GO:0016239)	1/64	5.910589e-02	7.771331e-02	0	0	1.756437e+01	4.967951e+01	DCN
GO_Biological_Process_2023	Peptidyl-Tyrosine Phosphorylation (GO:0018108)	1/67	6.179362e-02	8.087275e-02	0	0	1.676347e+01	4.666874e+01	RELN
GO_Biological_Process_2023	Nervous System Development (GO:0007399)	2/433	6.275351e-02	8.133835e-02	0	0	5.336427e+00	1.477412e+01	RELN;BDNF
GO_Biological_Process_2023	Regulation Of Cell Migration (GO:0030334)	2/434	6.300888e-02	8.133835e-02	0	0	5.323802e+00	1.471754e+01	RELN;CAMK2A
GO_Biological_Process_2023	Cellular Response To Calcium Ion (GO:0071277)	1/69	6.358139e-02	8.133835e-02	0	0	1.626879e+01	4.482759e+01	SYT1
GO_Biological_Process_2023	Positive Regulation Of Phosphatidylinositol 3-Kinase Signaling (GO:0014068)	1/69	6.358139e-02	8.133835e-02	0	0	1.626879e+01	4.482759e+01	DCN
GO_Biological_Process_2023	Regulation Of Monoatomic Ion Transmembrane Transporter Activity (GO:0032412)	1/69	6.358139e-02	8.133835e-02	0	0	1.626879e+01	4.482759e+01	RELN
GO_Biological_Process_2023	Regulation Of G Protein-Coupled Receptor Signaling Pathway (GO:0008277)	1/70	6.447406e-02	8.211047e-02	0	0	1.603221e+01	4.395217e+01	CAMK2A
GO_Biological_Process_2023	Regulation Of Hydrolase Activity (GO:0051336)	1/71	6.536593e-02	8.287467e-02	0	0	1.580238e+01	4.310501e+01	CAMK2A
GO_Biological_Process_2023	Negative Regulation Of Neuron Apoptotic Process (GO:0043524)	1/74	6.803671e-02	8.587745e-02	0	0	1.515068e+01	4.072061e+01	BDNF
GO_Biological_Process_2023	Negative Regulation Of Blood Vessel Morphogenesis (GO:2000181)	1/77	7.070026e-02	8.884457e-02	0	0	1.455044e+01	3.854857e+01	DCN
GO_Biological_Process_2023	Negative Regulation Of Apoptotic Signaling Pathway (GO:2001234)	1/82	7.512348e-02	9.398709e-02	0	0	1.364883e+01	3.533167e+01	BDNF
GO_Biological_Process_2023	Exocytosis (GO:0006887)	1/86	7.864769e-02	9.753688e-02	0	0	1.300392e+01	3.306607e+01	SNAP25
GO_Biological_Process_2023	Negative Regulation Of Angiogenesis (GO:0016525)	1/86	7.864769e-02	9.753688e-02	0	0	1.300392e+01	3.306607e+01	DCN
GO_Biological_Process_2023	Regulation Of Insulin Secretion (GO:0050796)	1/87	7.952676e-02	9.781453e-02	0	0	1.285207e+01	3.253709e+01	SNAP25
GO_Biological_Process_2023	Regulation Of Endothelial Cell Migration (GO:0010594)	1/88	8.040503e-02	9.781453e-02	0	0	1.270370e+01	3.202195e+01	DCN
GO_Biological_Process_2023	Negative Regulation Of Neuron Death (GO:1901215)	1/88	8.040503e-02	9.781453e-02	0	0	1.270370e+01	3.202195e+01	BDNF
GO_Biological_Process_2023	Positive Regulation Of Cell Adhesion (GO:0045785)	1/88	8.040503e-02	9.781453e-02	0	0	1.270370e+01	3.202195e+01	LAMA2
GO_Biological_Process_2023	Protein Phosphorylation (GO:0006468)	2/500	8.063617e-02	9.781453e-02	0	0	4.602646e+00	1.158858e+01	RELN;CAMK2A
GO_Biological_Process_2023	Positive Regulation Of Peptidyl-Serine Phosphorylation (GO:0033138)	1/89	8.128250e-02	9.781453e-02	0	0	1.255871e+01	3.152016e+01	BDNF
GO_Biological_Process_2023	Regulation Of Vesicle-Mediated Transport (GO:0060627)	1/89	8.128250e-02	9.781453e-02	0	0	1.255871e+01	3.152016e+01	SYT1
GO_Biological_Process_2023	Regulation Of Peptidyl-Tyrosine Phosphorylation (GO:0050730)	1/90	8.215918e-02	9.803869e-02	0	0	1.241698e+01	3.103123e+01	RELN
GO_Biological_Process_2023	Regulation Of Phosphatidylinositol 3-Kinase Signaling (GO:0014066)	1/90	8.215918e-02	9.803869e-02	0	0	1.241698e+01	3.103123e+01	DCN
GO_Biological_Process_2023	Regulation Of Peptidyl-Serine Phosphorylation (GO:0033135)	1/93	8.478447e-02	1.007481e-01	0	0	1.201027e+01	2.963705e+01	BDNF
GO_Biological_Process_2023	Cell Junction Assembly (GO:0034329)	1/95	8.653071e-02	1.023947e-01	0	0	1.175355e+01	2.876393e+01	BDNF
GO_Biological_Process_2023	Regulation Of Macroautophagy (GO:0016241)	1/96	8.740265e-02	1.029005e-01	0	0	1.162924e+01	2.834313e+01	DCN
GO_Biological_Process_2023	Positive Regulation Of Intracellular Signal Transduction (GO:1902533)	2/525	8.768281e-02	1.029005e-01	0	0	4.377010e+00	1.065377e+01	RELN;DCN
GO_Biological_Process_2023	Regulation Of Protein Localization (GO:0032880)	1/97	8.827380e-02	1.031677e-01	0	0	1.150752e+01	2.793235e+01	BDNF
GO_Biological_Process_2023	Protein Complex Oligomerization (GO:0051259)	1/100	9.088251e-02	1.057813e-01	0	0	1.115713e+01	2.675688e+01	KCNC1
GO_Biological_Process_2023	Regulation Of Protein Secretion (GO:0050708)	1/102	9.261773e-02	1.073610e-01	0	0	1.093509e+01	2.601759e+01	SNAP25
GO_Biological_Process_2023	Positive Regulation Of Kinase Activity (GO:0033674)	1/104	9.434981e-02	1.089242e-01	0	0	1.072168e+01	2.531117e+01	RELN
GO_Biological_Process_2023	Regulation Of Neuron Apoptotic Process (GO:0043523)	1/105	9.521467e-02	1.094776e-01	0	0	1.061806e+01	2.496965e+01	BDNF
GO_Biological_Process_2023	Response To Calcium Ion (GO:0051592)	1/106	9.607875e-02	1.100257e-01	0	0	1.051640e+01	2.463559e+01	SYT1
GO_Biological_Process_2023	Monoatomic Ion Transport (GO:0006811)	1/107	9.694205e-02	1.101262e-01	0	0	1.041667e+01	2.430877e+01	SLC17A7
GO_Biological_Process_2023	Positive Regulation Of Autophagy (GO:0010508)	1/107	9.694205e-02	1.101262e-01	0	0	1.041667e+01	2.430877e+01	DCN
GO_Biological_Process_2023	Mitotic Cell Cycle Phase Transition (GO:0044772)	1/111	1.003874e-01	1.135858e-01	0	0	1.003586e+01	2.306961e+01	CAMK2A
GO_Biological_Process_2023	Calcium Ion Transport (GO:0006816)	1/112	1.012468e-01	1.141036e-01	0	0	9.944945e+00	2.277585e+01	CAMK2A
GO_Biological_Process_2023	Positive Regulation Of Cellular Component Organization (GO:0051130)	1/113	1.021055e-01	1.146164e-01	0	0	9.855655e+00	2.248813e+01	RELN
GO_Biological_Process_2023	Regulation Of Small GTPase Mediated Signal Transduction (GO:0051056)	1/118	1.063869e-01	1.189523e-01	0	0	9.432099e+00	2.113424e+01	RELN
GO_Biological_Process_2023	Regulation Of Protein Kinase Activity (GO:0045859)	1/119	1.072409e-01	1.194369e-01	0	0	9.351695e+00	2.087932e+01	RELN
GO_Biological_Process_2023	Enzyme-Linked Receptor Protein Signaling Pathway (GO:0007167)	1/124	1.114992e-01	1.236944e-01	0	0	8.969286e+00	1.967627e+01	BDNF
GO_Biological_Process_2023	Protein Homooligomerization (GO:0051260)	1/129	1.157382e-01	1.278974e-01	0	0	8.616753e+00	1.858138e+01	AQP4
GO_Biological_Process_2023	Positive Regulation Of Peptidyl-Tyrosine Phosphorylation (GO:0050731)	1/130	1.165837e-01	1.283324e-01	0	0	8.549526e+00	1.837418e+01	RELN
GO_Biological_Process_2023	Synapse Organization (GO:0050808)	1/131	1.174284e-01	1.287632e-01	0	0	8.483333e+00	1.817068e+01	BDNF
GO_Biological_Process_2023	Regulation Of Cell Adhesion (GO:0030155)	1/144	1.283406e-01	1.401874e-01	0	0	7.707071e+00	1.582314e+01	LAMA2
GO_Biological_Process_2023	Positive Regulation Of Protein Kinase Activity (GO:0045860)	1/145	1.291747e-01	1.403888e-01	0	0	7.653164e+00	1.566289e+01	RELN
GO_Biological_Process_2023	Positive Regulation Of Cellular Catabolic Process (GO:0031331)	1/146	1.300080e-01	1.403888e-01	0	0	7.600000e+00	1.550521e+01	DCN
GO_Biological_Process_2023	Neuron Projection Morphogenesis (GO:0048812)	1/146	1.300080e-01	1.403888e-01	0	0	7.600000e+00	1.550521e+01	BDNF
GO_Biological_Process_2023	Positive Regulation Of NF-kappaB Transcription Factor Activity (GO:0051092)	1/152	1.349921e-01	1.452188e-01	0	0	7.295806e+00	1.461014e+01	CAMK2A
GO_Biological_Process_2023	Peptidyl-Serine Phosphorylation (GO:0018105)	1/158	1.399491e-01	1.499832e-01	0	0	7.014862e+00	1.379456e+01	CAMK2A
GO_Biological_Process_2023	Protein Autophosphorylation (GO:0046777)	1/162	1.432389e-01	1.529317e-01	0	0	6.839199e+00	1.329022e+01	CAMK2A
GO_Biological_Process_2023	Protein Modification Process (GO:0036211)	2/711	1.451644e-01	1.544070e-01	0	0	3.197876e+00	6.171545e+00	GAD1;CAMK2A
GO_Biological_Process_2023	Peptidyl-Serine Modification (GO:0018209)	1/166	1.465167e-01	1.552639e-01	0	0	6.672054e+00	1.281445e+01	CAMK2A
GO_Biological_Process_2023	Generation Of Neurons (GO:0048699)	1/172	1.514111e-01	1.598541e-01	0	0	6.435997e+00	1.214960e+01	RELN
GO_Biological_Process_2023	Endocytosis (GO:0006897)	1/189	1.651347e-01	1.736973e-01	0	0	5.848995e+00	1.053400e+01	OCIAD2
GO_Biological_Process_2023	Neuron Projection Development (GO:0031175)	1/192	1.675346e-01	1.755713e-01	0	0	5.756254e+00	1.028392e+01	BDNF
GO_Biological_Process_2023	Regulation Of Angiogenesis (GO:0045765)	1/205	1.778588e-01	1.857055e-01	0	0	5.385893e+00	9.300175e+00	DCN
GO_Biological_Process_2023	Positive Regulation Of Protein Modification Process (GO:0031401)	1/225	1.935055e-01	2.013025e-01	0	0	4.900050e+00	8.048082e+00	RELN
GO_Biological_Process_2023	Positive Regulation Of Phosphorylation (GO:0042327)	1/231	1.981443e-01	2.053758e-01	0	0	4.770773e+00	7.722735e+00	RELN
GO_Biological_Process_2023	Regulation Of Autophagy (GO:0010506)	1/241	2.058194e-01	2.125553e-01	0	0	4.569676e+00	7.223543e+00	DCN
GO_Biological_Process_2023	Regulation Of Protein Phosphorylation (GO:0001932)	1/265	2.239568e-01	2.304483e-01	0	0	4.149200e+00	6.208458e+00	RELN
GO_Biological_Process_2023	Positive Regulation Of Cell Differentiation (GO:0045597)	1/283	2.373015e-01	2.431739e-01	0	0	3.880812e+00	5.582252e+00	LAMA2
GO_Biological_Process_2023	Transmembrane Receptor Protein Tyrosine Kinase Signaling Pathway (GO:0007169)	1/284	2.380364e-01	2.431739e-01	0	0	3.866902e+00	5.550287e+00	BDNF
GO_Biological_Process_2023	Phosphorylation (GO:0016310)	1/429	3.377891e-01	3.438427e-01	0	0	2.538032e+00	2.754611e+00	CAMK2A
GO_Biological_Process_2023	Negative Regulation Of Apoptotic Process (GO:0043066)	1/482	3.710593e-01	3.763602e-01	0	0	2.252252e+00	2.232868e+00	BDNF
GO_Biological_Process_2023	Positive Regulation Of Cellular Process (GO:0048522)	1/594	4.362308e-01	4.408881e-01	0	0	1.816376e+00	1.506836e+00	LAMA2
GO_Biological_Process_2023	Positive Regulation Of Transcription By RNA Polymerase II (GO:0045944)	1/938	5.987187e-01	6.029649e-01	0	0	1.129136e+00	5.792052e-01	DCN
GO_Biological_Process_2023	Positive Regulation Of DNA-templated Transcription (GO:0045893)	1/1243	7.046824e-01	7.071724e-01	0	0	8.382090e-01	2.933799e-01	DCN
GO_Biological_Process_2023	Regulation Of Transcription By RNA Polymerase II (GO:0006357)	1/2028	8.689773e-01	8.689773e-01	0	0	4.920792e-01	6.910676e-02	DCN
